1, 1000000, 999985, 15
2, 1000000, 999856, 144
3, 1000000, 999561, 439
4, 1000000, 998749, 1251
5, 1000000, 997321, 2679
6, 1000000, 994948, 5052
7, 1000000, 991838, 8162
8, 1000000, 987655, 12345
9, 999999, 983085, 16914
10, 999998, 977434, 22564
11, 999987, 971937, 28050
12, 999974, 965649, 34325
13, 999932, 959482, 40450
14, 999845, 952889, 46956
15, 999678, 946216, 53462
16, 999353, 939089, 60264
17, 998692, 931821, 66871
18, 997563, 924423, 73140
19, 995659, 916316, 79343
20, 992718, 907665, 85053
21, 988307, 897644, 90663
22, 981971, 886133, 95838
23, 973220, 873161, 100059
24, 961687, 857094, 104593
25, 946832, 838767, 108065
26, 928216, 818203, 110013
27, 906379, 795303, 111076
28, 880536, 768942, 111594
29, 851298, 740511, 110787
30, 818801, 709177, 109624
31, 783677, 676693, 106984
32, 746218, 642369, 103849
33, 707289, 607062, 100227
34, 667263, 571330, 95933
35, 626727, 535600, 91127
36, 586427, 499773, 86654
37, 546688, 464755, 81933
38, 507944, 431426, 76518
39, 470231, 398306, 71925
40, 434309, 367053, 67256
41, 399704, 337120, 62584
42, 366947, 309257, 57690
43, 336330, 283062, 53268
44, 307838, 258481, 49357
45, 280984, 235541, 45443
46, 255876, 214290, 41586
47, 232433, 193874, 38559
48, 210830, 175847, 34983
49, 190589, 158917, 31672
50, 172071, 143034, 29037
51, 155009, 128631, 26378
52, 139260, 115518, 23742
53, 124920, 103625, 21295
54, 112128, 92998, 19130
55, 100202, 82590, 17612
56, 89330, 73908, 15422
57, 79464, 65601, 13863
58, 70386, 57856, 12530
59, 62336, 51247, 11089
60, 55098, 45301, 9797
61, 48524, 39831, 8693
62, 42601, 34924, 7677
63, 37297, 30527, 6770
64, 32703, 26773, 5930
65, 28502, 23266, 5236
66, 24881, 20268, 4613
67, 21538, 17617, 3921
68, 18780, 15283, 3497
69, 16219, 13168, 3051
70, 14019, 11381, 2638
71, 12070, 9853, 2217
72, 10430, 8525, 1905
73, 8972, 7303, 1669
74, 7718, 6289, 1429
75, 6630, 5392, 1238
76, 5663, 4567, 1096
77, 4834, 3977, 857
78, 4083, 3285, 798
79, 3463, 2813, 650
80, 2908, 2331, 577
81, 2432, 2006, 426
82, 2025, 1636, 389
83, 1709, 1386, 323
84, 1425, 1142, 283
85, 1214, 988, 226
86, 1003, 800, 203
87, 841, 653, 188
88, 701, 565, 136
89, 591, 475, 116
90, 489, 402, 87
91, 413, 349, 64
92, 348, 288, 60
93, 293, 240, 53
94, 243, 188, 55
95, 199, 155, 44
96, 162, 127, 35
97, 133, 115, 18
98, 108, 89, 19
99, 93, 72, 21
100, 67, 54, 13
101, 58, 48, 10
102, 47, 36, 11
103, 36, 27, 9
104, 28, 26, 2
105, 19, 14, 5
106, 17, 14, 3
107, 16, 13, 3
108, 14, 10, 4
109, 10, 6, 4
110, 9, 6, 3
111, 7, 6, 1
112, 4, 3, 1
113, 2, 2, 0
114, 1, 0, 1
115, 1, 1, 0
116, 0, 0, 0
